site,plataforma,item,produto_encontrado,score,url_produto
balancassaoroque.com.br,desconhecida,U035 - Cuscuzeiro tipo hotel,CUSCUZEIRO 18 LIXADO 3 LTS SOLAR ALUMINIO,0.587,https://balancassaoroque.com.br/produto/cuscuzeiro-18-lixado-3-lts-solar-aluminio/8616?cat=34
balancassaoroque.com.br,desconhecida,U028 - Concha profissional tipo hotel,Concha Hotel em Alumínio Nº 09 Vigor,0.58,https://balancassaoroque.com.br/produto/concha-hotel-em-aluminio-n-09-vigor/2907?cat=34
balancassaoroque.com.br,desconhecida,U015 - Caixa plástica para mantimentos,Caixa Plástica com Tampa S-500 Supercron,0.571,https://balancassaoroque.com.br/produto/caixa-plastica-com-tampa-s-500-supercron/1980?cat=34
balancassaoroque.com.br,desconhecida,U016 - Caixa plástica para mantimentos,Caixa Plástica com Tampa S-500 Supercron,0.571,https://balancassaoroque.com.br/produto/caixa-plastica-com-tampa-s-500-supercron/1980?cat=34
balancassaoroque.com.br,desconhecida,U017 - Caixa plástica para mantimentos,Caixa Plástica com Tampa S-500 Supercron,0.571,https://balancassaoroque.com.br/produto/caixa-plastica-com-tampa-s-500-supercron/1980?cat=34
balancassaoroque.com.br,desconhecida,U018 - Caixa plástica retangular para mantimentos,Caixa Plástica com Tampa S-500 Supercron,0.571,https://balancassaoroque.com.br/produto/caixa-plastica-com-tampa-s-500-supercron/1980?cat=34
balancassaoroque.com.br,desconhecida,U019 - Caixa plástica tipo Gourmet,Caixa Plástica com Tampa S-500 Supercron,0.571,https://balancassaoroque.com.br/produto/caixa-plastica-com-tampa-s-500-supercron/1980?cat=34
balancassaoroque.com.br,desconhecida,U054 - Leiteira industrial tipo hotel,LEITEIRA 20 AA JOLLY,0.568,https://balancassaoroque.com.br/produto/leiteira-20-aa-jolly/2299?cat=34
balancassaoroque.com.br,desconhecida,U063 - Pegador universal profissional confeccionado em aço inoxidável,"Cortador de Pizza Multifuncional com pegador 28,9 x 9 cm ref. 2202/369 Brinox",0.544,https://balancassaoroque.com.br/produto/cortador-de-pizza-multifuncional-com-pegador-28-9-x-9-cm-ref-2202-369-brinox/2363?cat=34
balancassaoroque.com.br,desconhecida,U026 - Colher de servir profissional confeccionada em aço inoxidável,"COLHER ARROZ 49,5CM ARIENZO PRO COD 1667/301 BRINOX",0.537,https://balancassaoroque.com.br/produto/colher-arroz-49-5cm-arienzo-pro-cod-1667-301-brinox/9889?cat=34
balancassaoroque.com.br,desconhecida,U040 - Escumadeira profissional grande,Escumadeira de silicone com cabo inox cinza EURO,0.529,https://balancassaoroque.com.br/produto/escumadeira-de-silicone-com-cabo-inox-cinza-euro/2872?cat=34
balancassaoroque.com.br,desconhecida,U023 - Caneca plástica escolar com capacidade aproximada de 300 ml,Caneca de plástico escolar Azul Bic 300ml Ref. 492-31 Anodilar,0.523,https://balancassaoroque.com.br/produto/caneca-de-plastico-escolar-azul-bic-300ml-ref-492-31-anodilar/2272?cat=34
balancassaoroque.com.br,desconhecida,U049 - Garfo plástico escolar confeccionado em polietileno (PE) atóxico,Garfo de plástico com 24 unidades ref: 12977 Kriat,0.48,https://balancassaoroque.com.br/produto/garfo-de-plastico-com-24-unidades-ref-12977-kriat/7372?cat=65
ciatacado.com,woocommerce,U080 - Kit de escovas para higienização de mamadeiras e bicos,Produtos de Limpeza,0.487,https://ciatacado.com/produtos-de-limpeza/
dimensional.com.br,vtex,U049 - Garfo plástico escolar confeccionado em polietileno (PE) atóxico,"Canaleta Aberta Pvc Cinza C/Tp 50X 50MM 2000MM Cr5050 Steck ☆ ☆ ☆ ☆ ☆ Em estoque R$ 22,99 à vista no pix com 10% OFF ou 1 de R$ 25,54 sem juros adicionar ao carrinho",0.51,https://www.dimensional.com.br/canaleta-rec-ab-pvc-cz-c-tp-50x-50x-2000mm-cr5050-steck/p
dimensional.com.br,vtex,U044 - Faca profissional para legumes e frutas,"Grampo Terra Duplo Cu 4-8Awg 5/8-3/4"" GTDU3/8IPS84 Intelli R$ 32,99 à vista no pix com 10% OFF ou 1 de R$ 32,99 sem juros adicionar ao carrinho",0.485,https://www.dimensional.com.br/grampo-terra-duplo-cu-4-8awg-5-8-3-4-gtdu3-8ips84-intelli/p
dimensional.com.br,vtex,U067 - Prato plástico confeccionado em polietileno (PE) atóxico,"Pegador Peça Cilindro (Paralela) Alicate Boca Plana 6Mm 300Mm 230300 Gedore R$ 446,99",0.485,https://www.dimensional.com.br/636386-pegador-peca-cilind-paralela-alicate-boca-plana-6mm-300mm-230300-gedore/p
ingaimport.com.br,desconhecida,U064 - Peneira manual profissional confeccionada em aço inoxidável,PENEIRA DE INOX Ø 18X35CM - CM120,0.619,https://www.ingaimport.com.br/produto/peneira-de-inox-o-18x35cm-cm120-11048
ingaimport.com.br,desconhecida,U052 - Jarra graduada com capacidade aproximada de 2 litros,JARRA MILANO 2 LITROS - CM6,0.55,https://www.ingaimport.com.br/produto/jarra-milano-2-litros-cm6-13864
ingaimport.com.br,desconhecida,U041 - Espátula reta profissional confeccionada em aço inoxidável,ESPÁTULA RETA 25X10CM - CM72,0.533,https://www.ingaimport.com.br/produto/espatula-reta-25x10cm-cm72-12415
ingaimport.com.br,desconhecida,U040 - Escumadeira profissional grande,ESCUMADEIRA DE SILICONE C/ CABO INOX 34CM - CM144,0.514,https://www.ingaimport.com.br/produto/escumadeira-de-silicone-c-cabo-inox-34cm-cm144-12411
ingaimport.com.br,desconhecida,U068 - Ralador manual de 4 faces,RALADOR DE INOX 4 FACES 23CM,0.504,https://www.ingaimport.com.br/produto/ralador-de-inox-4-faces-23cm-11117
ingaimport.com.br,desconhecida,U037 - Escorredor de macarrão industrial tipo hotel,ESCORREDOR DE MASSAS C/ALÇAS Ø 26CM - CM72,0.502,https://www.ingaimport.com.br/produto/escorredor-de-massas-calcas-o-26cm-cm72-12673
ingaimport.com.br,desconhecida,U039 - Escorredor de macarrão industrial tipo hotel,ESCORREDOR DE MASSAS C/ALÇAS Ø 26CM - CM72,0.502,https://www.ingaimport.com.br/produto/escorredor-de-massas-calcas-o-26cm-cm72-12673
mor.com.br,vtex,U027 - Colher plástica escolar confeccionada em polietileno (PE) atóxico,"Afiador de Faca 9,5cm x 5cm Linha do Assador R$ 21,85 à vista ou R$ 23,00 em 1x de R$ 23,00 COMPRAR",0.481,https://www.lojamor.com.br/afiador-de-faca-95cm-x-5cm-linha-do-assador-3901/p
multiseg.com.br,desconhecida,U067 - Prato plástico confeccionado em polietileno (PE) atóxico,"Tubo Aço Carbono Preto Nbr 5580 Classe Média 1"" X 6 Metros FAÇA UMA COTAÇÃO",0.505,https://www.multiseg.com.br/3073/tubo-ao-carbono-preto-nbr-5580-classe-mdia-1-x-6-metros
panan.com.br,desconhecida,U078 - Assadeira retangular profissional nº 5,"Assadeira Alumínio 60 x 40 x 3,5 cm Uso Profissional",0.76,https://www.panan.com.br/cozinha/utensilios/assadeira-aluminio-60-x-40-x-3-5-cm-uso-profissional
