site,plataforma,item,produto_encontrado,score,url_produto
platinox.com.br,tray,U059 - Panela de pressão industrial com capacidade aproximada de 20 litros,Panela de Pressao 22l c/alca fechamento externo EIRILAR 907,0.494,https://www.platinox.com.br/utensilios/panelas/pressao/copia-panela-de-pressao-20l-casa-baquelite-abc-1215
platinox.com.br,tray,U060 - Panela de pressão industrial com capacidade aproximada de 25 litros,Panela de Pressao 22l c/alca fechamento externo EIRILAR 907,0.494,https://www.platinox.com.br/utensilios/panelas/pressao/copia-panela-de-pressao-20l-casa-baquelite-abc-1215
platinox.com.br,tray,U061 - Panela de pressão industrial com capacidade aproximada de 30 litros,Panela de Pressao 22l c/alca fechamento externo EIRILAR 907,0.494,https://www.platinox.com.br/utensilios/panelas/pressao/copia-panela-de-pressao-20l-casa-baquelite-abc-1215
platinox.com.br,tray,U062 - Panela de pressão industrial com capacidade aproximada de 35 a 40 litros,Panela de Pressao 22l c/alca fechamento externo EIRILAR 907,0.494,https://www.platinox.com.br/utensilios/panelas/pressao/copia-panela-de-pressao-20l-casa-baquelite-abc-1215
refrisol.com.br,desconhecida,U053 - Kit de tábuas profissionais para corte de alimentos,Tábua de Corte 38 x 50 cm Sincol,0.695,https://www.refrisol.com.br/tabua-de-corte-38-x-50-cm-sincol/p
refrisol.com.br,desconhecida,U058 - Panela de pressão industrial com capacidade aproximada de 10 litros,Panela De Pressão Fechamento Externo Alumínio 5 Litros Nacional,0.659,https://www.refrisol.com.br/panela-de-pressao-fechamento-externo-aluminio-5-litros-nacional/p
refrisol.com.br,desconhecida,U061 - Panela de pressão industrial com capacidade aproximada de 30 litros,Panela De Pressão Fechamento Externo Alumínio 5 Litros Nacional,0.659,https://www.refrisol.com.br/panela-de-pressao-fechamento-externo-aluminio-5-litros-nacional/p
refrisol.com.br,desconhecida,U062 - Panela de pressão industrial com capacidade aproximada de 35 a 40 litros,Panela De Pressão Fechamento Externo Alumínio 5 Litros Nacional,0.659,https://www.refrisol.com.br/panela-de-pressao-fechamento-externo-aluminio-5-litros-nacional/p
refrisol.com.br,desconhecida,U043 - Faca profissional para carnes,"Faca Desossa Inox Lâmina Curva Cabo Branco Profissional Hercules Mundial 6""",0.599,https://www.refrisol.com.br/faca-desossa-inox-lamina-curva-cabo-branco-profissional-6/p
refrisol.com.br,desconhecida,U045 - Faca profissional serrilhada para corte de pães,"Faca para Pão 8"" Infinity Brinox",0.486,https://www.refrisol.com.br/faca-para-pao-8-infinity-brinox/p
sombrisulequipamentos.com.br,tray,U013 - Caixa plástica com tampa,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa
sombrisulequipamentos.com.br,tray,U014 - Caixa plástica organizadora com tampa,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa
sombrisulequipamentos.com.br,tray,U015 - Caixa plástica para mantimentos,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa
sombrisulequipamentos.com.br,tray,U016 - Caixa plástica para mantimentos,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa
sombrisulequipamentos.com.br,tray,U017 - Caixa plástica para mantimentos,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa
sombrisulequipamentos.com.br,tray,U018 - Caixa plástica retangular para mantimentos,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa
sombrisulequipamentos.com.br,tray,U019 - Caixa plástica tipo Gourmet,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa
startatacado.com.br,desconhecida,U034 - Cuscuzeiro tipo hotel,Cuscuzeiro Color NR 16,0.594,https://www.startatacado.com.br/cuscuzeiro-color-nr
startatacado.com.br,desconhecida,U042 - Espremedor manual profissional para alho,Espremedor de Batatas,0.571,https://www.startatacado.com.br/espremedor-de-batatas
startatacado.com.br,desconhecida,U023 - Caneca plástica escolar com capacidade aproximada de 300 ml,Caneca Reta Tio 300ml,0.556,https://www.startatacado.com.br/caneca-reta-tio-300ml-caneca-de-tio-incrivel
startatacado.com.br,desconhecida,U047 - Frigideira industrial modelo nº 40,Frigideira Multiuso,0.552,https://www.startatacado.com.br/frigideira-multiuso
startatacado.com.br,desconhecida,U048 - Frigideira industrial modelo nº 45,Frigideira Multiuso,0.552,https://www.startatacado.com.br/frigideira-multiuso
startatacado.com.br,desconhecida,U045 - Faca profissional serrilhada para corte de pães,"Faca Cutelo 8""""",0.537,https://www.startatacado.com.br/faca-cutelo-8
startatacado.com.br,desconhecida,U078 - Assadeira retangular profissional nº 5,"Assadeira Retangular 2,9 Litros Celebrity",0.525,https://www.startatacado.com.br/assadeira-retangular-2-9-litros-celebrity
startatacado.com.br,desconhecida,U020 - Caldeirão tipo hotel industrial nº 30,Caldeirão Color Tampa de Vidro NR28,0.511,https://www.startatacado.com.br/caldeirao-color-tampa-de-vidro-nr28
startatacado.com.br,desconhecida,U021 - Caldeirão tipo hotel industrial nº 32,Caldeirão Color Tampa de Vidro NR28,0.511,https://www.startatacado.com.br/caldeirao-color-tampa-de-vidro-nr28
startatacado.com.br,desconhecida,U022 - Caldeirão tipo hotel industrial nº 38,Caldeirão Color Tampa de Vidro NR28,0.511,https://www.startatacado.com.br/caldeirao-color-tampa-de-vidro-nr28
startatacado.com.br,desconhecida,U076 - Caldeirão industrial com capacidade aproximada de 10 litros,Caldeirão Color Tampa de Vidro NR28,0.511,https://www.startatacado.com.br/caldeirao-color-tampa-de-vidro-nr28
startatacado.com.br,desconhecida,U033 - Cuscuzeiro tipo hotel,Cuscuzeiro Color NR 16,0.5,https://www.startatacado.com.br/cuscuzeiro-color-nr
startatacado.com.br,desconhecida,U035 - Cuscuzeiro tipo hotel,Cuscuzeiro Color NR 16,0.5,https://www.startatacado.com.br/cuscuzeiro-color-nr
startatacado.com.br,desconhecida,U071 - Cuscuzeiro tipo hotel,Cuscuzeiro Color NR 16,0.5,https://www.startatacado.com.br/cuscuzeiro-color-nr
trepis.com.br,tray,U053 - Kit de tábuas profissionais para corte de alimentos,Kit 5 unidades Protetor Solar FPS 60 Frasco 120 ml,0.55,https://www.trepis.com.br/promocao/kit-5-unidades-protetor-solar-fps-60-frasco-120-ml
zeusdobrasil.com.br,desconhecida,U002 - Assadeira tipo hotel confeccionada em alumínio de alta resistência,Terminal aéreo em alumínio base horizontal 500mm x 1-8pol. x 7-8pol. - 23700,0.573,https://www.zeusdobrasil.com.br/produto/terminal-aereo-em-aluminio-base-horizontal-500mm-x-1-8pol-x-7-8pol-23700
zeusdobrasil.com.br,desconhecida,U028 - Concha profissional tipo hotel,Terminal aéreo em alumínio base horizontal 500mm x 1-8pol. x 7-8pol. - 23700,0.573,https://www.zeusdobrasil.com.br/produto/terminal-aereo-em-aluminio-base-horizontal-500mm-x-1-8pol-x-7-8pol-23700
zeusdobrasil.com.br,desconhecida,U008 - Caçarola industrial em alumínio com capacidade aproximada de 10 litros,Tampa cega em alumínio para condulete - 25979,0.537,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979
zeusdobrasil.com.br,desconhecida,U009 - Caçarola tipo hotel industrial nº 38,Tampa cega em alumínio para condulete - 25979,0.537,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979
zeusdobrasil.com.br,desconhecida,U010 - Caçarola tipo hotel industrial nº 45,Tampa cega em alumínio para condulete - 25979,0.537,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979
zeusdobrasil.com.br,desconhecida,U020 - Caldeirão tipo hotel industrial nº 30,Tampa cega em alumínio para condulete - 25979,0.537,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979
zeusdobrasil.com.br,desconhecida,U021 - Caldeirão tipo hotel industrial nº 32,Tampa cega em alumínio para condulete - 25979,0.537,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979
zeusdobrasil.com.br,desconhecida,U022 - Caldeirão tipo hotel industrial nº 38,Tampa cega em alumínio para condulete - 25979,0.537,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979
zeusdobrasil.com.br,desconhecida,U033 - Cuscuzeiro tipo hotel,Tampa cega em alumínio para condulete - 25979,0.537,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979
zeusdobrasil.com.br,desconhecida,U034 - Cuscuzeiro tipo hotel,Tampa cega em alumínio para condulete - 25979,0.537,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979
zeusdobrasil.com.br,desconhecida,U076 - Caldeirão industrial com capacidade aproximada de 10 litros,Tampa cega em alumínio para condulete - 25979,0.537,https://www.zeusdobrasil.com.br/produto/tampa-cega-em-aluminio-para-condulete-25979
zeusdobrasil.com.br,desconhecida,U055 - Lixeira com capacidade aproximada de 50 litros,Adesivo para lixeira reciclável (plástico) - 19299,0.529,https://www.zeusdobrasil.com.br/produto/adesivo-para-lixeira-reciclavel-plastico-19299
zeusdobrasil.com.br,desconhecida,U045 - Faca profissional serrilhada para corte de pães,Alça de ancoragem aço inox 5-8 pol. sobrepor comprimento 45cm - 22920,0.511,https://www.zeusdobrasil.com.br/produto/alca-de-ancoragem-aco-inox-5-8-pol-sobrepor-comprimento-45cm-22920
zeusdobrasil.com.br,desconhecida,U065 - Porta detergente com suporte para esponja,Placa ar condicionado mantenha a porta fechada alumínio 25 x 5cm - 23300,0.493,https://www.zeusdobrasil.com.br/produto/placa-ar-condicionado-mantenha-a-porta-fechada-aluminio-25-x-5cm-23300
zeusdobrasil.com.br,desconhecida,U046 - Faca profissional tipo chef para corte e preparo geral de alimentos,Porta de Segurança - 46426,0.48,https://www.zeusdobrasil.com.br/produto/porta-de-seguranca-46426
