id_item,categoria,grupo_insumo,item_curto,descricao,termos_busca
U016,UTENSILIOS,CAIXA PLASTICA,Caixa plástica para mantimentos,"Caixa plástica para mantimentos, com capacidade aproximada de 3 litros, confeccionada em polipropileno (PP) atóxico, próprio para contato com alimentos, com tampa de encaixe, estrutura resistente, superfície lisa e de fácil higienização. Disponível nas cores branca ou translúcida","caixa plastica 3 l | caixa plastica polipropileno | caixa plastica mantimentos, | caixa plastica"
U017,UTENSILIOS,CAIXA PLASTICA,Caixa plástica para mantimentos,"Caixa plástica para mantimentos, com capacidade aproximada de 5 litros, confeccionada em polipropileno (PP) atóxico, próprio para contato com alimentos, com tampa de encaixe, estrutura resistente, superfície lisa e de fácil higienização. Disponível nas cores branca ou translúcida","caixa plastica 5 l | caixa plastica polipropileno | caixa plastica mantimentos, | caixa plastica"
U018,UTENSILIOS,CAIXA PLASTICA,Caixa plástica retangular para mantimentos,"Caixa plástica retangular para mantimentos, com capacidade aproximada de 1 litro, confeccionada em polipropileno (PP) virgem, atóxico, próprio para contato com alimentos, na cor branca ou translúcida. Possui tampa de encaixe com fechamento seguro, estrutura resistente, superfície lisa, acabamento uniforme e de fácil higienização. Dimensões aproximadas: 18,5 × 14 × 6 cm.",caixa plastica 1 l | caixa plastica polipropileno | caixa plastica retangular | caixa plastica
U019,UTENSILIOS,CAIXA PLASTICA,Caixa plástica tipo Gourmet,"Caixa plástica tipo Gourmet, com capacidade aproximada de 45 litros, confeccionada em polipropileno (PP) atóxico, próprio para contato com alimentos, com tampa de encaixe, estrutura resistente, superfície lisa e de fácil higienização. Disponível nas cores branca ou translúcida","caixa plastica 45 l | caixa plastica polipropileno | caixa plastica gourmet, | caixa plastica"
U020,UTENSILIOS,CALDEIRAO,Caldeirão tipo hotel industrial nº 30,"Caldeirão tipo hotel industrial nº 30, com capacidade aproximada de 20 litros, confeccionado em alumínio de alta resistência, com tampa em alumínio e alças laterais reforçadas. Possui acabamento liso, superfície polida, estrutura resistente e adequada espessura de alumínio para uso profissional, proporcionando facilidade de higienização e maior durabilidade. Diâmetro aproximado: 30 cm. (Caldeirão nº 30 de 20L)",caldeirao 20 l | caldeirao aluminio | caldeirao hotel industrial | caldeirao
U021,UTENSILIOS,CALDEIRAO,Caldeirão tipo hotel industrial nº 32,"Caldeirão tipo hotel industrial nº 32, com capacidade aproximada de 30 litros, confeccionado em alumínio de alta resistência, com tampa em alumínio, alças laterais reforçadas e acabamento liso para facilitar a higienização. Indicado para preparo de alimentos em grande volume (Caldeirão n° 32 de 30L)",caldeirao 30 l | caldeirao aluminio | caldeirao hotel industrial | caldeirao
U022,UTENSILIOS,CALDEIRAO,Caldeirão tipo hotel industrial nº 38,"Caldeirão tipo hotel industrial nº 38, com capacidade aproximada de 45 litros, confeccionado em alumínio de alta resistência, com tampa em alumínio, alças laterais reforçadas e acabamento liso para facilitar a higienização. Indicado para preparo de alimentos em grande volume (Caldeirão n° 38 de 45L)",caldeirao 45 l | caldeirao aluminio | caldeirao hotel industrial | caldeirao
U076,UTENSILIOS,CALDEIRAO,Caldeirão industrial com capacidade aproximada de 10 litros,"Caldeirão industrial com capacidade aproximada de 10 litros, confeccionado em alumínio de alta resistência, com tampa em alumínio, alças laterais reforçadas para transporte e manuseio seguro e acabamento liso para facilitar a higienização. (Caldeirão de 10L)",caldeirao 10 l | caldeirao aluminio | caldeirao industrial 10 | caldeirao
U023,UTENSILIOS,CANECA,Caneca plástica escolar com capacidade aproximada de 300 ml,"Caneca plástica escolar com capacidade aproximada de 300 ml, confeccionada em polietileno (PE) atóxico, próprio para contato com alimentos, na cor azul, com acabamento liso, resistente, leve e de fácil higienização",caneca 300 ml | caneca plastica escolar | caneca
U079,UTENSILIOS,CANECAO,Canecão industrial tipo hotel nº 18,"Canecão industrial tipo hotel nº 18, com capacidade aproximada de 4,5 litros, confeccionado em alumínio de alta resistência, com espessura aproximada de 2 mm, acabamento liso, cabo em baquelite resistente ao calor e estrutura adequada para aquecimento e preparo de líquidos.",canecao 4.5 l | canecao aluminio | canecao industrial hotel | canecao
