id_item,dominio,url_produto,titulo_encontrado,score_match,preco_indicativo,coletado_em,classificacao,motivo_match,sku
U013,sombrisulequipamentos.com.br,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,44.92,2026-09-23T10:21:36,revisar,"comprimento pedida [0.19100000000000003, 0.33799999999999997, 0.544] e o produto traz [0.15, 0.3, 0.4]",
U014,sombrisulequipamentos.com.br,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,44.92,2026-09-22T15:17:27,revisar,,
U015,sombrisulequipamentos.com.br,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,44.92,2026-09-23T10:24:28,revisar,,
U016,sombrisulequipamentos.com.br,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,44.92,2026-09-23T10:24:59,revisar,,
U017,sombrisulequipamentos.com.br,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,44.92,2026-09-23T10:25:28,revisar,,
U018,sombrisulequipamentos.com.br,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,44.92,2026-09-23T10:25:59,revisar,"comprimento pedida [0.06, 0.14, 0.185] e o produto traz [0.15, 0.3, 0.4]",
U019,sombrisulequipamentos.com.br,https://www.sombrisulequipamentos.com.br/plastico-utilidades/caixa-plastica-klt-15x30x40cm-c-tampa,Caixa Plástica KLT 15x30x40cm c/ tampa,0.561,44.92,2026-09-23T10:26:33,revisar,,
