id_item,dominio,url_produto,titulo_encontrado,score_match,preco_indicativo,coletado_em,classificacao,motivo_match,sku
U012,123util.com.br,https://123util.com.br/produtos/limpeza-e-organizacao,Limpeza e Organização,0.587,,2026-09-22T14:15:59,revisar,,
U023,123util.com.br,https://123util.com.br/produtos/ceramica/caneca-ceramica-lisa-e-estampada-300ml-99cm/0000361,PROMOÇÃO Caneca cerâmica lisa e estampada 300ml - 9*9cm Código: UD419 Ver produto,0.513,,2026-09-23T09:11:44,revisar,,
U046,123util.com.br,https://123util.com.br/produtos/utilidades-domesticas/faca-de-acougue-profissional-10-23mm-superiore/0000275,"PROMOÇÃO Faca de açougue profissional 10"" 2,3mm - superiore Código: UD617 Ver produto",0.483,,2026-09-22T14:38:18,revisar,,
