id_item,dominio,url_produto,titulo_encontrado,score_match,preco_indicativo,coletado_em,classificacao,motivo_match,sku
U044,dimensional.com.br,https://www.dimensional.com.br/grampo-terra-duplo-cu-4-8awg-5-8-3-4-gtdu3-8ips84-intelli/p,"Grampo Terra Duplo Cu 4-8Awg 5/8-3/4"" GTDU3/8IPS84 Intelli R$ 32,99 à vista no pix com 10% OFF ou 1 de R$ 32,99 sem juros adicionar ao carrinho",0.485,32.99,2026-09-22T14:38:15,revisar,,
U049,dimensional.com.br,https://www.dimensional.com.br/canaleta-rec-ab-pvc-cz-c-tp-50x-50x-2000mm-cr5050-steck/p,"Canaleta Aberta Pvc Cinza C/Tp 50X 50MM 2000MM Cr5050 Steck ☆ ☆ ☆ ☆ ☆ Em estoque R$ 22,99 à vista no pix com 10% OFF ou 1 de R$ 25,54 sem juros adicionar ao carrinho",0.51,22.99,2026-09-22T14:40:28,revisar,,
U067,dimensional.com.br,https://www.dimensional.com.br/636386-pegador-peca-cilind-paralela-alicate-boca-plana-6mm-300mm-230300-gedore/p,"Pegador Peça Cilindro (Paralela) Alicate Boca Plana 6Mm 300Mm 230300 Gedore R$ 446,99",0.485,446.99,2026-09-22T14:48:54,revisar,,
