id_item,dominio,url_produto,titulo_encontrado,score_match,preco_indicativo,coletado_em,classificacao,motivo_match,sku
U044,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/faca-para-legumes-inox-4-profissional-ref-24625-084-tramontina/4026?cat=34,Faca para Legumes Inox 4 Profissional Ref. 24625/084 Tramontina,0.588,33.8,2026-09-23T09:29:02,revisar,,
U046,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/faca-10-cabo-branco-ref-2470-10-tramontina/3953?cat=34,"Faca 10"" Cabo Branco ref. 2470/10 Tramontina",0.683,55.0,2026-09-23T09:31:16,aceito,,
U047,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/frigideira-hotel-de-aluminio-com-cabo-baquelite-n-26-aluminio-abc/4700?cat=34,Frigideira Hotel de alumínio com cabo Baquelite N° 26 Alumínio ABC,0.713,116.0,2026-09-23T09:31:39,aceito,,
U048,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/frigideira-hotel-de-aluminio-com-cabo-baquelite-n-26-aluminio-abc/4700?cat=34,Frigideira Hotel de alumínio com cabo Baquelite N° 26 Alumínio ABC,0.713,116.0,2026-09-23T09:32:04,aceito,,
U049,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/garfo-de-plastico-com-24-unidades-ref-12977-kriat/7372?cat=65,Garfo de plástico com 24 unidades ref: 12977 Kriat,0.48,7.3,2026-09-23T09:32:44,revisar,"item avulso, mas o produto vem em [24] peças",
U054,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/leiteira-20-aa-jolly/2299?cat=34,LEITEIRA 20 AA JOLLY,0.568,117.5,2026-09-23T09:37:01,revisar,,
U055,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/lixeira-plastica-ecologica-50-litros-vermelha-plastico-ref-757vm-plasvale/5370?cat=34,Lixeira plástica Ecológica 50 litros vermelha PLÁSTICO ref. 757VM Plasvale,0.607,160.0,2026-09-23T09:38:28,revisar,,
U056,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/pa-de-polietileno-remo-75x1-cm-ref-pp-751-solrac/6712?cat=34,Pá de polietileno Remo 75x1 cm ref. PP-751 Solrac,0.718,120.1,2026-09-23T09:39:13,aceito,,
U057,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/alca-corpo-panela-de-pressao-fechamento-externo-aluminio-nacional/9649?cat=34,Alça corpo panela de pressão fechamento externo alumínio nacional,0.698,21.0,2026-09-23T09:40:01,aceito,,
U058,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/panela-de-pressao-pressionella-antiaderente-grafite-com-tampa-polida-10l-aluminio-ramos/5697?cat=34,Panela de pressão pressionella antiaderente grafite com tampa polida 10l Aluminio Ramos,0.654,195.0,2026-09-23T09:40:23,aceito,,
U059,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/alca-corpo-panela-de-pressao-fechamento-externo-aluminio-nacional/9649?cat=34,Alça corpo panela de pressão fechamento externo alumínio nacional,0.647,21.0,2026-09-23T09:40:41,aceito,,
U060,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/alca-corpo-panela-de-pressao-fechamento-externo-aluminio-nacional/9649?cat=34,Alça corpo panela de pressão fechamento externo alumínio nacional,0.647,21.0,2026-09-23T09:40:55,aceito,,
U061,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/alca-corpo-panela-de-pressao-fechamento-externo-aluminio-nacional/9649?cat=34,Alça corpo panela de pressão fechamento externo alumínio nacional,0.647,21.0,2026-09-23T09:41:08,aceito,,
U062,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/alca-corpo-panela-de-pressao-fechamento-externo-aluminio-nacional/9649?cat=34,Alça corpo panela de pressão fechamento externo alumínio nacional,0.647,21.0,2026-09-23T09:41:30,aceito,,
U063,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/cortador-de-pizza-multifuncional-com-pegador-28-9-x-9-cm-ref-2202-369-brinox/2363?cat=34,"Cortador de Pizza Multifuncional com pegador 28,9 x 9 cm ref. 2202/369 Brinox",0.544,65.5,2026-09-23T09:42:52,revisar,,
U074,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/cuba-savoy-gn-1-1-100mm-sem-alcas-brinox/8243?cat=34,Cuba Savoy Gn 1/1 100mm sem Alças Brinox,0.688,129.0,2026-09-23T09:13:01,aceito,,
U076,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/caldeirao-hotel-em-aluminio-com-tampa-n-16-vigor/2218?cat=34,Caldeirão Hotel em Alumínio com Tampa Nº 16 Vigor,0.662,47.3,2026-09-23T09:07:23,aceito,,
U077,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/bacia-n-55-aluminio-vigor/631?cat=34,Bacia Nº 55 Alumínio Vigor,0.64,86.75,2026-09-23T08:52:31,aceito,,
U079,balancassaoroque.com.br,https://balancassaoroque.com.br/produto/canecao-hotel-cabo-baquelite-n-12-vigor/2304?cat=34,Canecão Hotel Cabo Baquelite Nº 12 Vigor,0.699,45.5,2026-09-23T09:08:28,aceito,,
